台灣,#genre#	
CNN,mitv://ns2.hellotvvod.com:9906/d9992a89cc114c5eb924dbdbf1b6ea6d
民視,mitv://ns2.hellotvvod.com:9906/ab45f757ec2a4c2ebbbea7823cb482f0
人間衛視,mitv://ns2.hellotvvod.com:9906/3ddfa5b1ddff4de8a4cdbff4c1f20661
台視,mitv://ns2.hellotvvod.com:9906/01818783436249b28f33dace1bb922d7
大愛,mitv://ns2.hellotvvod.com:9906/dca7e5a2be8a437581ca8341063ff331
中視,mitv://ns2.hellotvvod.com:9906/012f9b3b680b4a0784b7a663921873bb
霹靂台灣台,mitv://ns2.hellotvvod.com:9906/a29cd56d4a23439aa72018ca2cb4db39
華視,mitv://ns2.hellotvvod.com:9906/6cbf1ab34f674c56be353e008e9ceb73
公視,mitv://ns2.hellotvvod.com:9906/74f7a6fc6e604994af2450fe357b9284
好消息,mitv://ns2.hellotvvod.com:9906/aa640e1538014dd0942b97d22d16cef1
原住民電視台,mitv://ns2.hellotvvod.com:9906/ecbe650c1b09453aa42bfb17ae858300
客家電視台,mitv://ns2.hellotvvod.com:9906/9bc486b8b51e46fcb204ae46782af384
國家地理頻道,mitv://ns2.hellotvvod.com:9906/8434a9914d57452389b87a48ae521d25
探索頻道,mitv://ns2.hellotvvod.com:9906/a292f61f984644dfbab3373b105557a2
TLC旅遊生活,mitv://ns2.hellotvvod.com:9906/0c2b963411714066aac2c739596005f3
動物星球,mitv://ns2.hellotvvod.com:9906/242e61826ec340f5a808275f3cf65cc3
CN卡通頻道,mitv://ns2.hellotvvod.com:9906/7069ff35cdaa4581be7432962d256785
MOMO親子台,mitv://ns2.hellotvvod.com:9906/f5f7bb21706b4547bcb641f4711163c0
東森幼幼台,mitv://ns2.hellotvvod.com:9906/74fa277d91b64a1c96c1195f08d6be75
緯來綜合台,mitv://ns2.hellotvvod.com:9906/f3fd222cb4154266ab058591cc1b805a
八大第一台,mitv://ns2.hellotvvod.com:9906/2ff63a878708478b8d25a65d56a496c4
八大綜合台,mitv://ns2.hellotvvod.com:9906/7941d97c8bed4fda8f0a6f6536afc8ad
三立台灣台,mitv://ns2.hellotvvod.com:9906/bf2340e4482040e3b4af5c384adc2250
三立都會台,mitv://ns2.hellotvvod.com:9906/60b852eff41243b8a65e4374db75f038
東森綜合台,mitv://ns2.hellotvvod.com:9906/cb21cbb86b1244999eeb5de79c58f0dd
超視,mitv://ns2.hellotvvod.com:9906/9aadd92e72404badb1d2b261b262116c
中天綜合台,mitv://ns2.hellotvvod.com:9906/d62dade9574a480bb333869120b1b5dc
中天娛樂台,mitv://ns2.hellotvvod.com:9906/0cee3ba20f4549699ee8f149b68810ad
東森戲劇台,mitv://ns2.hellotvvod.com:9906/ccd03a939fd74599a8ff5c50e3b0c3e9
八大戲劇台,mitv://ns2.hellotvvod.com:9906/8273a8947c42494e9850e1b93c7c730a
