台灣備用,#genre#
TVBS-精彩台,http://iptv12k.com:35461/live/80301070602/456776/4842.m3u8
天映經典 MOVIE,http://iptv12k.com:35461/live/80301070602/456776/1871.m3u8
星衛HD電影 MOVIE,http://iptv12k.com:35461/live/80301070602/456776/1870.m3u8
美亞電影台 MOVIE,http://iptv12k.com:35461/live/80301070602/456776/1869.m3u8
衛視電影台 MOVIE scm,http://iptv12k.com:35461/live/80301070602/456776/1868.m3u8
東森洋片 MOVIE,http://iptv12k.com:35461/live/80301070602/456776/1867.m3u8
東森電影台 MOVIE,http://iptv12k.com:35461/live/80301070602/456776/1866.m3u8
CatchPlay電影台 MOVIE,http://iptv12k.com:35461/live/80301070602/456776/1865.m3u8
壹電視新聞台,http://iptv12k.com:35461/live/80301070602/456776/1293.m3u8
中視,http://iptv12k.com:35461/live/80301070602/456776/1291.m3u8
台視,http://iptv12k.com:35461/live/80301070602/456776/1290.m3u8
公視,http://iptv12k.com:35461/live/80301070602/456776/1289.m3u8
三立都會,http://iptv12k.com:35461/live/80301070602/456776/1287.m3u8
三立台灣,http://iptv12k.com:35461/live/80301070602/456776/1286.m3u8
三立戲劇,http://iptv12k.com:35461/live/80301070602/456776/5080.m3u8
三立新聞,http://iptv12k.com:35461/live/80301070602/456776/1285.m3u8
八大戲劇,http://iptv12k.com:35461/live/80301070602/456776/1284.m3u8
八大綜合,http://iptv12k.com:35461/live/80301070602/456776/1283.m3u8
八大第一,http://iptv12k.com:35461/live/80301070602/456776/1282.m3u8
八大娛樂台,http://iptv12k.com:35461/live/80301070602/456776/1281.m3u8
東森綜合台,http://iptv12k.com:35461/live/80301070602/456776/1280.m3u8
中天亞洲CTI Asia,http://iptv12k.com:35461/live/80301070602/456776/1278.m3u8
中天娛樂,http://iptv12k.com:35461/live/80301070602/456776/1277.m3u8
中視經典,http://iptv12k.com:35461/live/80301070602/456776/1274.m3u8
BRAVO中視青采,http://iptv12k.com:35461/live/80301070602/456776/1273.m3u8
TVBS,http://iptv12k.com:35461/live/80301070602/456776/1272.m3u8
TVBS-G歡樂台,http://iptv12k.com:35461/live/80301070602/456776/1271.m3u8
FOX NEWS,http://iptv12k.com:35461/live/80301070602/456776/1270.m3u8
NBCSN,http://iptv12k.com:35461/live/80301070602/456776/1269.m3u8
HBO,http://iptv12k.com:35461/live/80301070602/456776/1266.m3u8
HBO家庭,http://iptv12k.com:35461/live/80301070602/456776/1265.m3u8
HBO強檔,http://iptv12k.com:35461/live/80301070602/456776/1264.m3u8
HBO原創,http://iptv12k.com:35461/live/80301070602/456776/1263.m3u8
JET TV,http://iptv12k.com:35461/live/80301070602/456776/1262.m3u8
衛視HD電影scm,http://iptv12k.com:35461/live/80301070602/456776/1261.m3u8
美亞電影台,http://iptv12k.com:35461/live/80301070602/456776/1260.m3u8
美食星球,http://iptv12k.com:35461/live/80301070602/456776/1259.m3u8
衛視電影台scm,http://iptv12k.com:35461/live/80301070602/456776/1258.m3u8
衛視中文 HD Star Chinese Channel HD,http://iptv12k.com:35461/live/80301070602/456776/1257.m3u8
