台灣,#genre#
ELTA影劇台,zlive://173.208.209.114:7719/f83f3f1bfbcd3367d57beea2d8b302fd#zlive://173.208.209.114:7719/f83f3f1bfbcd3367d57beea2d8b302fd,0
ELTA綜合_HD,zlive://173.208.209.114:7719/3d83399ab012e62dbe61e8de36a2cdaa#zlive://173.208.209.114:7719/3d83399ab012e62dbe61e8de36a2cdaa,0
ELTA綜合(備),zlive://173.208.209.114:7719/f12532016b50178789cffeb9980d6095#zlive://173.208.209.114:7719/f12532016b50178789cffeb9980d6095,0
EYE旅遊,zlive://173.208.209.114:7719/36a5300753b27944741647298e6a6eac#zlive://173.208.209.114:7719/36a5300753b27944741647298e6a6eac,null
TVN HD,zlive://173.208.209.114:7719/cc70e6d259193ad9d5057ff6f3598076#zlive://173.208.209.114:7719/cc70e6d259193ad9d5057ff6f3598076,null
民視,zlive://173.208.209.114:7719/77b7ad91443422cdadb18fd72f0a4507#zlive://173.208.209.114:7719/77b7ad91443422cdadb18fd72f0a4507,0
台視HD,zlive://173.208.209.114:7719/97e93f1b428135bfaabbdbb3902818df#zlive://173.208.209.114:7719/97e93f1b428135bfaabbdbb3902818df,null
台視（備）,zlive://173.208.209.114:7719/efe0602e87c6c9e67ac4e5996bab5f79#zlive://173.208.209.114:7719/efe0602e87c6c9e67ac4e5996bab5f79,0
大愛一台,zlive://173.208.209.114:7719/992f4da9d52c0050455c52bce4db1ce2#zlive://173.208.209.114:7719/992f4da9d52c0050455c52bce4db1ce2,null
中視,zlive://173.208.209.114:7719/6c33a5e6d8558cdb439cd0e06297bf2c#zlive://173.208.209.114:7719/6c33a5e6d8558cdb439cd0e06297bf2c,null
華視,zlive://173.208.209.114:7719/4346ccaa631e8418dff04298482e9318#zlive://173.208.209.114:7719/4346ccaa631e8418dff04298482e9318,null
公視,zlive://173.208.209.114:7719/1dd13c989c8c7e12c3f5ac7ce7479e20#zlive://173.208.209.114:7719/1dd13c989c8c7e12c3f5ac7ce7479e20,null
公視3,zlive://173.208.209.114:7719/9ad84bf67ab9ffcafae83b89bdc091af#zlive://173.208.209.114:7719/9ad84bf67ab9ffcafae83b89bdc091af,0
亞洲旅遊台,zlive://173.208.209.114:7719/d56131c113afe886de1c5dd5d55489c2#zlive://173.208.209.114:7719/d56131c113afe886de1c5dd5d55489c2,null
好消息1,zlive://173.208.209.114:7719/477c776f8be6bdf69c24ec175fc85a15#zlive://173.208.209.114:7719/477c776f8be6bdf69c24ec175fc85a15,null
國家地理野生,zlive://173.208.209.114:7719/102d9019b24c5fbbab22636679114ddc#zlive://173.208.209.114:7719/102d9019b24c5fbbab22636679114ddc,0
探索頻道,zlive://173.208.209.114:7719/36995307a60550c79d4a273ff9920725#zlive://173.208.209.114:7719/36995307a60550c79d4a273ff9920725,null
TLC,zlive://173.208.209.114:7719/d3b1791ba0fa5427de004f3fc8c01a37#zlive://173.208.209.114:7719/d3b1791ba0fa5427de004f3fc8c01a37,null
動物星球,zlive://173.208.209.114:7719/299df0bb81dbe78d0c7853a63f6f2210#zlive://173.208.209.114:7719/299df0bb81dbe78d0c7853a63f6f2210,null
CN卡通,zlive://173.208.209.114:7719/db78ba7139c75b99b2fce5ad266a618e#zlive://173.208.209.114:7719/db78ba7139c75b99b2fce5ad266a618e,null
momo,zlive://173.208.209.114:7719/a865a90af5550b65c2969480a4a23c54#zlive://173.208.209.114:7719/a865a90af5550b65c2969480a4a23c54,0
MOMO親子台(備),zlive://173.208.209.114:7719/0380f25f34683be981ff9328a4111aa3#zlive://173.208.209.114:7719/0380f25f34683be981ff9328a4111aa3,0
東森幼幼(備),zlive://173.208.209.114:7719/2e0e581706c3f6686215b973e34ae917#zlive://173.208.209.114:7719/2e0e581706c3f6686215b973e34ae917,null
東森幼幼,zlive://173.208.209.114:7719/8a7dff8c96272fef170e150d64cd94a9#zlive://173.208.209.114:7719/8a7dff8c96272fef170e150d64cd94a9,null
緯來綜合,zlive://173.208.209.114:7719/6312dfac5e43adac77af8ba252b121e6#zlive://173.208.209.114:7719/6312dfac5e43adac77af8ba252b121e6,null
八大第一台,zlive://173.208.209.114:7719/16532d6baa2cd3375a2e0efa49e57a11#zlive://173.208.209.114:7719/16532d6baa2cd3375a2e0efa49e57a11,null
八大綜合,zlive://173.208.209.114:7719/77e95a5b0ea2b9a637127341d02cf310#zlive://173.208.209.114:7719/77e95a5b0ea2b9a637127341d02cf310,null
三立台灣台,zlive://173.208.209.114:7719/e5ebd666b27b0eacc614b2da9010dea4#zlive://173.208.209.114:7719/e5ebd666b27b0eacc614b2da9010dea4,null
三立都會台,zlive://173.208.209.114:7719/dbe6cc6e993a17df8d02ccd1eb841f12#zlive://173.208.209.114:7719/dbe6cc6e993a17df8d02ccd1eb841f12,null
衛視中文台,zlive://173.208.209.114:7719/855f73b2f984473734b18de3f9ce4817#zlive://173.208.209.114:7719/855f73b2f984473734b18de3f9ce4817,null
東森綜合,zlive://173.208.209.114:7719/639600a617afdb52d5a9ae5edc193fdf#zlive://173.208.209.114:7719/639600a617afdb52d5a9ae5edc193fdf,null
東森超視,zlive://173.208.209.114:7719/ca437a4e8b3046a8d2edf3ec4f450255#zlive://173.208.209.114:7719/ca437a4e8b3046a8d2edf3ec4f450255,null
MOMO綜合,zlive://173.208.209.114:7719/a00ec56bb78fa0134c598ed8c57c39f2#zlive://173.208.209.114:7719/a00ec56bb78fa0134c598ed8c57c39f2,null
中天綜合_HD,zlive://173.208.209.114:7719/055f58be1a9918a65899f72b236c342a#zlive://173.208.209.114:7719/055f58be1a9918a65899f72b236c342a,null
中天娛樂,zlive://173.208.209.114:7719/207900bb7ceefca9d7b7d2600b0aad15#zlive://173.208.209.114:7719/207900bb7ceefca9d7b7d2600b0aad15,null
年代MUCH,zlive://173.208.209.114:7719/2fbc53ad4aa7862d2eae12e3f23ca543#zlive://173.208.209.114:7719/2fbc53ad4aa7862d2eae12e3f23ca543,null
東森戲劇,zlive://173.208.209.114:7719/db768296febd644957f8662617f3711c#zlive://173.208.209.114:7719/db768296febd644957f8662617f3711c,null
八大戲劇,zlive://173.208.209.114:7719/de09c3228994db9508e74418f19786a1#zlive://173.208.209.114:7719/de09c3228994db9508e74418f19786a1,null
TVBS歡樂(備),zlive://173.208.209.114:7719/7db6b1246a8df8d5c93d39e2b7e3c10f#zlive://173.208.209.114:7719/7db6b1246a8df8d5c93d39e2b7e3c10f,null
TVBS歡樂 HD,zlive://173.208.209.114:7719/fc5453132936752464de4b1a8027a4c9#zlive://173.208.209.114:7719/fc5453132936752464de4b1a8027a4c9,0
緯來戲劇,zlive://173.208.209.114:7719/b9873cf62d93eb57f0fd5efc1aa8236e#zlive://173.208.209.114:7719/b9873cf62d93eb57f0fd5efc1aa8236e,null
