午夜頻道,#genre#
☆JSᴴᴰ極限電影,mitv://fccs.word-tv.com:9906/6260e2b000004933172c99712568d815
☆JSᴴᴰ極限電影,P2p://54.39.16.152:9906/6260e2b000004933172c99712568d815
彩虹e台,mitv://fccs.word-tv.com:9906/62668da3000bd6cc134cc0d079365057
彩虹e台,p2p://54.39.16.152:9906/62668da3000bd6cc134cc0d079365057
彩虹電影台,mitv://fccs.word-tv.com:9906/6260e2d0000cf56c172d19afe4aa1d66
彩虹電影台,p2p://54.39.16.152:9906/6260e2d0000cf56c172d19afe4aa1d66
LOOK TV,mitv://fccs.word-tv.com:9906/6260e2e2000f16e6172d608b5505fbdd#P2p://54.39.16.152:9906/6260e2e2000f16e6172d608b5505fbdd
潘朵啦粉紅台,mitv://fccs.word-tv.com:9906/6260e061000b04ae172397987c1e3b34
潘朵啦玩美台,mitv://fccs.word-tv.com:9906/6260e259000d442b172b48ecdda91b31#mitv://45.92.126.18:9906/6260e259000d442b172b48ecdda91b31#p2p://54.39.16.152:9906/6260e259000d442b172b48ecdda91b31
松視1台,mitv://fccs.word-tv.com:9906/6260dfaa0008dccc1720cc33ffe57894#mitv://45.92.126.18:9906/6260dfaa0008dccc1720cc33ffe57894#p2p://54.39.16.152:9906/6260dfaa0008dccc1720cc33ffe57894
松視2台,mitv://fccs.word-tv.com:9906/6260dfc1000bd4ed172126cefab5cf1b#mitv://45.92.126.18:9906/6260dfc1000bd4ed172126cefab5cf1b#p2p://54.39.16.152:9906/6260dfc1000bd4ed172126cefab5cf1b
松視3台,mitv://fccs.word-tv.com:9906/6260dfda000d0d16172188c6d4d403c3#mitv://45.92.126.18:9906/6260dfda000d0d16172188c6d4d403c3#p2p://54.39.16.152:9906/6260dfda000d0d16172188c6d4d403c3
HOT頻道,mitv://fccs.word-tv.com:9906/6260e0070001ff07172235b9bb1b0cb6#mitv://45.92.126.18:9906/6260e0070001ff07172235b9bb1b0cb6#p2p://54.39.16.152:9906/6260e0070001ff07172235b9bb1b0cb6
HAPPY頻道,mitv://fccs.word-tv.com:9906/6260e2420001e45e172aec2a005c42e7#mitv://45.92.126.18:9906/6260e2420001e45e172aec2a005c42e7#P2p://54.39.16.152:9906/6260e2420001e45e172aec2a005c42e7
K 頻道,mitv://fccs.word-tv.com:9906/6263c0cd0009e68a085c9c619861891f#mitv://45.92.126.18:9906/6263c0cd0009e68a085c9c619861891f#p2p://54.39.16.152:9906/6263c0cd0009e68a085c9c619861891f
香蕉台,mitv://fccs.word-tv.com:9906/6260e29a0009b4f9172c45ea502a9f98#P2p://54.39.16.152:9906/6260e29a0009b4f9172c45ea502a9f98
驚豔成人電影台,mitv://fccs.word-tv.com:9906/6260e27a0006cf41172bc82c06b29fb9#P2p://54.39.16.152:9906/6260e27a0006cf41172bc82c06b29fb9
PLAYBOY,mitv://fccs.word-tv.com:9906/626b740500067a270c6c3677cce23984#P2p://54.39.16.152:9906/626b740500067a270c6c3677cce23984
K頻道,mitv://fccs.word-tv.com:9906/6263c0cd0009e68a085c9c619861891f
香草天道,mitv://fccs.word-tv.com:9906/626b730a000f13ab0c686433a4aa22a5
教主,mitv://fccs.word-tv.com:9906/626b7a25000d82090c842544db6623c5
VENS,mitv://fccs.word-tv.com:9906/626b732f0006b7ce0c68f297c4634035
特教班,mitv://fccs.word-tv.com:9906/626b7343000190970c693f6577f8facb
桉莫店,mitv://fccs.word-tv.com:9906/626b73510008edf70c6977f8aa9df6c2
A王,mitv://fccs.word-tv.com:9906/626b735f000db2ec0c69afe0789a0758
人不,mitv://fccs.word-tv.com:9906/626b73710005a5760c69f42172cb2df4
多多,mitv://fccs.word-tv.com:9906/626b7384000360cf0c6a3dc4c16ff53b
近,mitv://fccs.word-tv.com:9906/626b7397000e653b0c6a8acea1802126
彩虹通道,mitv://fccs.word-tv.com:9906/626b73a900091c810c6acfc4cd3c8df3
KMP 頻道,mitv://fccs.word-tv.com:9906/626b7417000ebc0c0c6c7ee48913e1f0
午夜藍,mitv://fccs.word-tv.com:9906/626b7425000e83a70c6cb5863e2179e9
櫻桃,mitv://fccs.word-tv.com:9906/626b7434000c38c40c6cef87e3079c78
大學,mitv://fccs.word-tv.com:9906/626b74450000c4030c6d2f0117e32ee4
INPUT,mitv://fccs.word-tv.com:9906/626b7455000e15fa0c6d70eac57e01
